be
have
do
say
get
make
go
know
take
see
come
think
look
want
give
use
find
tell
ask
work
seem
feel
try
leave
call
easy
english
nouns
listen 
read
nouns
example 
phrase  
audio 
person
man
the
nice
woman
child
small
time
year
week
day 
good 
way
thing
what 
world
big
life
hand
clean
part
eye
place
work
important
case
number
point  
your 
government
company
number
group
problem
fact
adjectives 
listen
read 
repeat 
good
new
first
last
long
great
little
own
other
old
right
big
high
different
small
large
next
early
young
important
few
public
bad
same
able
prepositions 
people
car
about
tell 
and 
woman
today
here
mother
eye
will
same
would
stay
